Name,Astronaut Year,Group,Status,Birth Year,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Occupation Field,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
J. Mike Lounge,1980,9,Deceased,1946,6/28/46,"Denver, CO",Male,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,Civilian,,,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",40603,
Henry W. Hartsfield Jr. ,1969,7,Retired,1933,11/21/33,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,Military,Colonel,US Air Force (Retired),3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Carlos I. Noriega,1995,15,Retired,1959,10/8/59,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Military,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)",,
Charles D. Walker,,,Retired,1948,8/29/48,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,,Civilian,,,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
Frank Borman,1962,2,Retired,1928,3/14/28,"Gary, IN",Male,US Military Academy; California Institute of Technology,,Aeronautical Engineering,Military,Colonel,US Air Force (Retired),2,477,0,0,"Gemini 7, Apollo 8",,
Susan L. Kilrain (Still),1995,15,Retired,1961,10/24/61,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of Technology,Astronautical Engineering,Aerospace Engineering,Military,Commander,US Navy (Retired),2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Gregory T. Linteris,,,Retired,1957,10/4/57,"Demarest, NJ",Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,Civilian,,,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Roger K. Crouch,,,Retired,1940,9/12/40,"Jamestown, TN",Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,Civilian,,,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Michael L. Coats,1978,8,Retired,1946,1/16/46,"Sacramento, CA",Male,US Naval Academy; George Washington University; US Naval Postgraduate School,,Science & Technology Administration; Aeronautical Engineering,Military,Captain,US Navy (Retired),3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Robert A. Parker,1967,6,Retired,1936,12/14/36,"New York, NY",Male,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,Civilian,,,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)",,
L. Blaine Hammond Jr. ,1984,10,Retired,1952,1/16/52,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Military,Colonel,US Air Force (Retired),2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",,
Byron K. Lichtenberg,,,Retired,1948,2/19/48,"Stroudsburg, PA",Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,Civilian,,,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)",,
Frederick D. Gregory,1978,8,Retired,1941,1/7/41,"Washington, DC",Male,US Air Force Academy; George Washington University,,Information Systems,Military,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
Mary E. Weber,1992,14,Retired,1962,8/24/62,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,Civilian,,,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",,
Bernard A. Harris Jr. ,1990,13,Retired,1956,6/26/56,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,Civilian,,,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",,
Charles Lacy Veach,1984,10,Deceased,1944,9/18/44,"Chicago, IL",Male,US Air Force Academy,Engineering Management,,Civilian,,,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",34975,
Frederick H. Hauck,1978,8,Retired,1941,4/11/41,"Long Beach, CA",Male,Tufts University; MIT,Physics,Nuclear Engineering,Military,Captain,US Navy (Retired),3,435,0,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,
Ronald M. Sega,1990,13,Retired,1952,12/4/52,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Military,Colonel,US Air Force Reserves (Retired),2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)",,
George D. Nelson,1978,8,Retired,1950,7/13/50,"Charles City, IA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,Civilian,,,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
Charles E. Brady Jr. ,1992,14,Deceased,1951,8/12/51,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill; Duke University,,Medicine,Military,Captain,US Navy,1,405,0,0,STS-78 (Columbia),38921,
John O. Creighton,1978,8,Retired,1943,4/28/43,"Orange, TX",Male,US Naval Academy; George Washington University,,Science & Technology Administration,Military,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
William G. Gregory,1990,13,Retired,1957,5/14/57,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Military,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),,
Loren J. Shriver,1978,8,Retired,1944,9/23/44,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Military,Colonel,US Air Force (Retired),3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
Karol J. Bobko,1969,7,Retired,1937,12/23/37,"New York, NY",Male,US Air Force Academy; University of Southern California,,Aerospace Engineering,Military,Colonel,US Air Force (Retired),3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",,
Bryan D. O'Connor,1980,9,Retired,1946,9/6/46,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Military,Colonel,US Marine Corps (Retired),2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Laurel B. Clark,1996,16,Deceased,1961,3/10/61,"Ames, IA",Female,University of Wisconsin-Madison,Zoology,Medicine,Military,Captain,US Navy,1,382,0,0,STS-107 (Columbia),37653,STS-107 (Columbia)
David M. Brown,1996,16,Deceased,1956,4/16/56,"Arlington, VA",Male,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Military,Captain,US Navy,1,382,0,0,STS-107 (Columbia),37653,STS-107 (Columbia)
C. Gordon Fullerton,1969,7,Retired,1936,10/11/36,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Military,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",,
William C. McCool,1996,16,Deceased,1961,9/23/61,"San Diego, CA",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Military,Commander,US Navy,1,382,0,0,STS-107 (Columbia),37653,STS-107 (Columbia)
Fred W. Leslie,,,Retired,1951,12/19/51,"Ancon, Panama",Male,University of Texas; University of Oklahoma,Engineering Science,Meteorology,Civilian,,,1,381,0,0,STS-73 (Columbia),,
Albert Sacco Jr.,,,Retired,1949,5/3/49,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,Civilian,,,1,381,0,0,STS-73 (Columbia),,
James A. Pawelczyk,,,Retired,1960,9/20/60,"Buffalo, NY",Male,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,Civilian,,,1,381,0,0,STS-90 (Columbia),,
Jay Clark Buckey,,,Retired,1956,6/6/56,"New York, NY",Male,Cornell University,Electrical Engineering,Medicine,Civilian,,,1,381,0,0,STS-90 (Columbia),,
Dorothy M. Metcalf-Lindenberger,2004,19,Active,1975,5/2/75,"Colorado Springs, CO",Female,Whitman College,Geology,,Civilian,,,1,362,0,0,STS-131 (Discovery),,
James P. Dutton Jr. ,2004,19,Management,1968,11/20/68,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Military,Colonel,US Air Force,1,362,0,0,STS-131 (Discovery),,
Richard M. Mullane,1978,8,Retired,1945,9/10/45,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,Military,Colonel,US Air Force (Retired),3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Sally K. Ride,1978,8,Deceased,1951,5/26/51,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,Civilian,,,2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)",41113,
James A. McDivitt,1984,2,Retired,1929,6/10/29,"Chicago, IL",Male,University of Michigan,Astronautical Engineering,,Military,Brigadier General,US Air Force (Retired),2,338,0,0,"Gemini 4, Apollo 9",,
James D. van Hoften,1978,8,Retired,1944,6/11/44,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,Civilian,,,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",,
James P. Bagian,1980,9,Retired,1952,2/22/52,"Philadelphia, PA",Male,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,Civilian,,,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)",,
Martin J. Fettman,,,Retired,1956,12/31/56,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,Civilian,,,1,336,0,0,STS-58 (Columbia),,
Dale A. Gardner,1978,8,Retired,1948,11/8/48,"Fairmont, MN",Male,University of Illinois,Engineering Physics,,Military,Captain,US Navy (Retired),2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",,
James C. Adamson,1984,10,Retired,1946,3/3/46,"Warsaw, NY",Male,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Military,Colonel,US Army (Retired),2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)",,
Charles J. Camarda,1996,16,Management,1952,5/8/52,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,Civilian,,,1,333,0,0,STS-114 (Discovery),,
Jose M. Hernandez,2004,19,Retired,1962,8/7/62,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,Civilian,,,1,332,0,0,STS-128 (Discovery),,
Lawrence J. Delucas,,,Retired,1950,7/11/50,"Syracuse, NY",Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,Civilian,,,1,331,0,0,STS-50 (Columbia),,
John B. Herrington,1996,16,Retired,1958,9/14/58,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Military,Commander,US Navy (Retired),1,330,3,20,STS-113 (Endeavor),,
Kenneth S. Reightler Jr. ,1987,12,Retired,1951,3/24/51,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Military,Captain,US Navy (Retired),2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",,
Guy S. Gardner,1980,9,Retired,1948,1/6/48,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Military,Colonel,US Air Force (Retired),2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",,
John M. Fabian,1978,8,Retired,1939,1/28/39,"Goosecreek, TX",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Military,Colonel,US Air Force (Retired),2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)",,
William E. Thornton,1967,6,Retired,1929,4/14/29,"Faison, NC",Male,University of North Carolina,Physics,Medicine,Civilian,,,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
Richard F. Gordon Jr. ,1963,3,Retired,1929,10/5/29,"Seattle, WA",Male,University of Washington,Chemistry,,Military,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,
Joseph P. Allen,1967,6,Retired,1937,6/27/37,"Crawsfordsville, IN",Male,DePauw University; Yale University,Mathematics & Physics,Physics,Civilian,,,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)",,
Bruce McCandless II ,1966,5,Retired,1937,6/8/37,"Boston, MA",Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,,Electrical Engineering; Business Administration,Military,Captain,US Navy (Retired),2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)",,
Bruce E. Melnick,1987,12,Retired,1949,12/5/49,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Military,Commander,US Coast Guard (Retired),2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)",,
K. Megan McArthur,2000,18,Active,1971,8/30/71,"Honolulu, HI",Female,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,Civilian,,,1,309,0,0,STS-125 (Atlantis),,
Gregory C. Johnson,1998,17,Management,1954,7/30/54,"Seattle, WA",Male,University of Washington,Aerospace Engineering,,Military,Captain,US Navy (Retired),1,309,0,0,STS-125 (Atlantis),,
Joan E. Higginbotham,1996,16,Retired,1964,8/3/64,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,Civilian,,,1,308,0,0,STS-116 (Discovery),,
William A. Oefelein,1998,17,Retired,1965,3/29/65,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Military,Commander,US Navy (Retired),1,308,0,0,STS-116 (Discovery),,
Paul W. Richards,1996,16,Management,1964,5/20/64,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,Civilian,,,1,307,1,6,STS-102 (Discovery),,
Richard R. Arnold II ,2004,19,Active,1963,11/26/63,"Cheverly, MD",Male,Frostburg State University; University of Maryland,Accounting,Environmental Science,Civilian,,,1,307,2,12,STS-119 (Discovery),,
Lisa M. Nowak,1996,16,Retired,1963,5/10/63,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),1,306,0,0,STS-121 (Discovery),,
Stanley G. Love,1998,17,Management,1965,6/8/65,"San Diego, CA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,Civilian,,,1,306,2,15,STS-122 (Atlantis),,
Barbara R. Morgan,1998,17,Retired,1951,11/28/51,"Fresno, CA",Female,Stanford University,Human Biology,,Civilian,,,1,305,0,0,STS-118 (Endeavor),,
Ronald E. Evans Jr. ,1966,5,Deceased,1933,11/10/33,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),1,301,1,1,Apollo 17,32969,
Harrison H. Schmitt,1965,4,Retired,1935,7/3/35,"Santa Rita, NM",Male,California Institute of Technology; Harvard University,Geology,Geology,Civilian,,,1,301,3,22,Apollo 17,,
Walter M. Schirra Jr. ,1959,1,Deceased,1923,3/12/23,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,,Military,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",39204,
Alfred M. Worden,1966,5,Retired,1932,2/7/32,"Jackson, MI",Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Military,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,,
James B. Irwin,1966,5,Deceased,1930,3/17/30,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Military,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,33458,
Robert F. Overmyer,1969,7,Deceased,1936,7/14/36,"Lorain, OH",Male,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,Military,Colonel,US Marine Corps (Retired),2,290,0,0,"STS-5 (Columbia), STS 51-B (Challenger)",35146,
Buzz Aldrin,1963,3,Retired,1930,1/20/30,"Montclair, NJ",Male,US Military Academy; MIT,Mechanical Engineering,Astronautics,Military,Colonel,US Air Force (Retired),2,289,2,8,"Gemini 12, Apollo 11",,
Robert L. Stewart,1978,8,Retired,1942,8/13/42,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Military,Brigadier General,US Army (Retired),2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Donald E. Williams,1978,8,Retired,1958,2/13/58,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,,Military,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Michael Collins,1963,3,Retired,1930,10/31/30,"Rome, Italy",Male,US Military Academy,,,Civilian,,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",,
Charles M. Duke Jr. ,1966,5,Retired,1935,10/3/35,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Military,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,,
Mary L. Cleave,1980,9,Retired,1947,2/5/47,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,Civilian,,,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Duane G. Carey,1996,16,Retired,1957,4/30/57,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Military,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),,
Donn F. Eisele,1963,3,Deceased,1930,5/23/30,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Military,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,32113,
Walter Cunningham,1963,3,Retired,1932,3/16/32,"Creston, IA",Male,University of California-Los Angeles,Physics,Physics,Military,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
Randolph J. Bresnik,2004,19,Active,1967,9/11/67,"Fort Knox, KY",Male,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,Military,Colonel,US Marine Corps,1,259,2,12,STS-129 (Atlantis),,
Robert L. Satcher Jr. ,2004,19,Retired,1965,9/22/65,"Hampton, VA",Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,Civilian,,,1,259,2,12,STS-129 (Atlantis),,
Lee M. Morin,1996,16,Management,1952,9/9/52,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,Military,Captain,US Navy,1,259,2,14,STS-110 (Atlantis),,
Mark N. Brown,1984,10,Retired,1951,11/18/51,"Valparaiso, IN",Male,Purdue University; Air Force Institute of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,Military,Colonel,US Air Force (Retired),2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)",,
Russell L. Schweickart,1963,3,Retired,1935,10/25/35,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,Civilian,,,1,241,1,1,Apollo 9,,
Robert C. Springer,1980,9,Retired,1942,5/21/42,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Military,Colonel,US Marine Corps (Retired),2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)",,
L. Gordon Cooper Jr. ,1959,1,Deceased,1927,3/6/27,"Shawnee, OK",Male,Air Force Institute of Technology,Aeronautical Engineering,,Military,Colonel,US Air Force (Retired),2,225,0,0,"Mercury 9, Gemini 5",38264,
Joe H. Engle,1966,5,Retired,1932,8/26/32,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,,Military,Major General,US Air Force (Retired),2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",,
John H. Glenn Jr. ,1959,1,Retired,1921,7/18/21,"Cambridge, OH",Male,Muskingum College,Engineering,,Military,Colonel,US Marine Corps (Retired),2,218,0,0,"Mercury 6, STS-95 (Discovery)",,
F. Andrew Gaffney,,,Retired,1946,6/9/46,"Carlsbad, NM",Male,University of California-Berkeley; University of New Mexico,Psychology,Medicine,Civilian,,,1,218,0,0,STS-40 (Columbia),,
Millie Hughes-Fulford,,,Retired,1945,12/21/45,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman’s University,Chemistry & Biology,,Civilian,,,1,218,0,0,STS-40 (Columbia),,
Donald K. Slayton,1959,1,Deceased,1924,3/1/24,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,,Military,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,34133,
Stuart A. Roosa,1966,5,Deceased,1933,8/16/33,"Durango, CO",Male,University of Colorado,Aeronautical Engineering,,Military,Colonel,US Air Force (Retired),1,216,0,0,Apollo 14,34680,
Alan B. Shepard Jr. ,1959,1,Deceased,1923,11/18/23,"East Derry, NH",Male,US Naval Academy,Naval Sciences,,Military,Rear Admiral,US Navy (Retired),2,216,2,9,"Mercury 3, Apollo 14",35997,
Edgar D. Mitchell,1966,5,Retired,1930,9/17/30,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Military,Captain,US Navy (Retired),1,216,2,9,Apollo 14,,
Joe F. Edwards Jr. ,1995,15,Retired,1958,2/3/58,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Military,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),,
Neil A. Armstrong,1962,2,Deceased,1930,8/5/30,"Wapakoneta, OH",Male,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,Civilian,,,2,205,1,2,"Gemini 8, Apollo 11",41146,
Richard H. Truly,1969,7,Retired,1937,11/12/37,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,,Military,Vice Admiral,US Navy (Retired),2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",,
Jon A. McBride,1978,8,Retired,1943,8/14/43,"Charleston, WV",Male,US Naval Postgraduate School,Aeronautical Engineering,,Military,Captain,US Navy (Retired),1,197,0,0,STS 41-G (Challenger),,
Paul D. Scully-Power,,,Retired,1944,5/28/44,"Sydney, Australia",Male,University of Sydney,Applied Mathematics,,Civilian,,,1,197,0,0,STS 41-G (Challenger),,
Ronald E. McNair,1978,8,Deceased,1950,10/21/50,"Lake City, SC",Male,North Carolina A&T State College; MIT,Physics,Physics,Civilian,,,2,191,0,0,"STS 41-B (Challenger), STS 51-L (Challenger)",31440,STS 51-L (Challenger)
Anna L. Fisher,1978,8,Management,1949,8/24/49,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,Civilian,,,1,191,0,0,STS 51-A (Discovery),,
John-David F. Bartoe,,,Retired,1944,11/17/44,"Abington, PA",Male,Lehigh University; Georgetown University,Physics,Physics,Civilian,,,1,190,0,0,STS 51-F (Challenger),,
Roy D. Bridges Jr. ,1980,9,Retired,1943,7/19/43,"Atlanta, GA",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Military,Major General,US Air Force (Retired),1,190,0,0,STS 51-F (Challenger),,
Karl G. Henize,1967,6,Deceased,1926,10/17/26,"Cincinnati, OH",Male,University of Virginia; University of Michigan,Mathematics,Astronomy,Civilian,,,1,190,0,0,STS 51-F (Challenger),34247,
Mae C. Jemison,1987,12,Retired,1956,10/17/56,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,Civilian,,,1,190,0,0,STS-47 (Endeavor),,
Anthony W. England,1967,6,Retired,1942,5/15/42,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,Civilian,,,1,190,0,0,STS 51-F (Challenger),,
Loren W. Acton,,,Retired,1936,3/7/36,"Lewiston, MT",Male,Montana State University; University of Colorado,Engineering Physics,Solar Physics,Civilian,,,1,190,0,0,STS 51-F (Challenger),,
William F. Fisher,1980,9,Retired,1946,4/1/46,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,Civilian,,,1,170,2,12,STS 51-I (Discovery),,
Taylor G. Wang,,,Retired,1940,6/16/40,"Jiangxi, China",Male,University of California at Los Angeles,Physics,Physics,Civilian,,,1,168,0,0,STS 51-B (Challenger),,
Don L. Lind,1966,5,Retired,1930,5/18/30,"Midvale, UT",Male,University of Utah; University of California-Berkley,Physics,Nuclear Physics,Civilian,,,1,168,0,0,STS 51-B (Challenger),,
Lodewijk van den Berg,,,Retired,1932,3/24/32,"Sluiskil, Netherlands",Male,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,Civilian,,,1,168,0,0,STS 51-B (Challenger),,
Francis R. Scobee,1978,8,Deceased,1939,5/19/39,"Cle Elum, WA",Male,University of Arizona,Aerospace Engineering,,Military,Major,US Air Force (Retired),2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)",31440,STS 51-L (Challenger)
Terry J. Hart,1978,8,Retired,1946,10/27/46,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,Civilian,,,1,167,0,0,STS 41-C (Challenger),,
Jake Garn,,,Retired,1932,10/12/32,Richfield. UT,Male,University of Utah,Business Finance,,Civilian,,,1,167,0,0,STS 51-D (Discovery),,
S. David Griggs,1978,8,Deceased,1939,9/7/39,"Portland, OR",Male,US Naval Academy; George Washington University,,Business Administration,Civilian,,,1,167,1,3,STS 51-D (Discovery),32676,
Thomas J. Hennen,,,Retired,1952,8/17/52,"Albany, GA",Male,,,,Military,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),,
Sherwood C. Spring,1980,9,Retired,1944,9/23/44,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Military,Colonel,US Army (Retired),1,165,2,12,STS 61-B (Atlantis),,
William A. Anders,1963,3,Retired,1933,10/17/33,Hong Kong,Male,US Naval Academy; Air Force Institute of Technology,Nuclear Engineering,Nuclear Engineering,Military,Major General,US Air Force Reserves (Retired),1,147,0,0,Apollo 8,,
Bill Nelson,,,Retired,1942,9/29/42,"Miami, FL",Male,Yale University; University of Virginia,,Law,Military,Captain,US Army (Retired),1,146,0,0,STS 61-C (Columbia),,
Robert Cenker,,,Retired,1948,11/5/48,"Uniontown, PA",Male,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,Civilian,,,1,146,0,0,STS 61-C (Columbia),,
Judith A. Resnik,1978,8,Deceased,1949,4/5/49,"Akron, OH",Female,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,Civilian,,,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)",31440,STS 51-L (Challenger)
Fred W. Haise Jr. ,1966,5,Retired,1933,11/14/33,"Biloxi, MS",Male,University of Oklahoma,Aeronautical Engineering,,Civilian,,,1,142,0,0,Apollo 13 ,,
John L. Swigert Jr. ,1966,5,Deceased,1931,8/30/31,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,Civilian,,,1,142,0,0,Apollo 13,30312,
